variant,source_id,num_rows
V1,k8s_security_docs,114
V1,k8s_security_observability_book,62
V1,owasp_k8s_cheatsheet,27
V1,nist_sp_800_190,22
V1,k8s_access_control_docs,15
V1,k8s_operational_security_docs,15
V1,cncf_cloud_native_security_whitepaper,13
V1,aalto_k8s_security_thesis,10
V1,practical_devsecops_kubernetes_security_101,9
V1,wallarm_kubernetes_security_whitepaper,7
V1,k8s_cve_feed,4
V1,redhat_kubernetes_security_pdf,2
V2,k8s_security_docs,103
V2,k8s_security_observability_book,64
V2,owasp_k8s_cheatsheet,31
V2,nist_sp_800_190,21
V2,k8s_access_control_docs,15
V2,cncf_cloud_native_security_whitepaper,14
V2,k8s_operational_security_docs,14
V2,practical_devsecops_kubernetes_security_101,12
V2,aalto_k8s_security_thesis,11
V2,wallarm_kubernetes_security_whitepaper,9
V2,k8s_cve_feed,4
V2,redhat_kubernetes_security_pdf,2
V3,k8s_security_docs,106
V3,k8s_security_observability_book,90
V3,owasp_k8s_cheatsheet,57
V3,practical_devsecops_kubernetes_security_101,23
V3,aalto_k8s_security_thesis,16
V3,k8s_access_control_docs,7
V3,k8s_operational_security_docs,1
