source_id,chunk_id,word_count,section_path_text,retrieval_text
k8s_security_docs,k8s_security_docs__docs_concepts_security__security__0001__chunk_0001,73,Security,"Title: Security
Section: Security
Content: This section of the Kubernetes documentation aims to help you learn to run workloads more securely, and about the essential aspects of keeping a Kubernetes cluster secure. Kubernetes is based on a cloud-native architecture, and draws on advice from the CNCF about good practice for cloud native information security. Read Cloud Native Security and Kubernetes for the broader context about how to secure your cluster and the applications that you're running on it."
k8s_security_docs,k8s_security_docs__docs_concepts_security__security__kubernetes_security_mechanisms__0002__chunk_0001,30,Security > Kubernetes security mechanisms,"Title: Security
Section: Security > Kubernetes security mechanisms
Content: Section: Security > Kubernetes security mechanisms. Kubernetes includes several APIs and security controls, as well as ways to define policies that can form part of how you manage information security."
k8s_security_docs,k8s_security_docs__docs_concepts_security__security__kubernetes_security_mechanisms__control_plane_protection__0003__chunk_0001,77,Security > Kubernetes security mechanisms > Control plane protection,"Title: Security
Section: Security > Kubernetes security mechanisms > Control plane protection
Content: A key security mechanism for any Kubernetes cluster is to control access to the Kubernetes API. Kubernetes expects you to configure and use TLS to provide data encryption in transit within the control plane, and between the control plane and its clients. You can also enable encryption at rest for the data stored within Kubernetes control plane; this is separate from using encryption at rest for your own workloads' data, which might also be a good idea."
k8s_security_docs,k8s_security_docs__docs_concepts_security__security__kubernetes_security_mechanisms__secrets__0004__chunk_0001,18,Security > Kubernetes security mechanisms > Secrets,"Title: Security
Section: Security > Kubernetes security mechanisms > Secrets
Content: Section: Kubernetes security mechanisms > Secrets. The Secret API provides basic protection for configuration values that require confidentiality."
k8s_security_docs,k8s_security_docs__docs_concepts_security__security__kubernetes_security_mechanisms__workload_protection__0005__chunk_0001,71,Security > Kubernetes security mechanisms > Workload protection,"Title: Security
Section: Security > Kubernetes security mechanisms > Workload protection
Content: Enforce Pod security standards to ensure that Pods and their containers are isolated appropriately. You can also use RuntimeClasses to define custom isolation if you need it. Network policies let you control network traffic between Pods, or between Pods and the network outside your cluster. You can deploy security controls from the wider ecosystem to implement preventative or detective controls around Pods, their containers, and the images that run in them."
k8s_security_docs,k8s_security_docs__docs_concepts_security__security__kubernetes_security_mechanisms__admission_control__0006__chunk_0001,47,Security > Kubernetes security mechanisms > Admission control,"Title: Security
Section: Security > Kubernetes security mechanisms > Admission control
Content: Admission controllers are plugins that intercept Kubernetes API requests and can validate or mutate the requests based on specific fields in the request. Thoughtfully designing these controllers helps to avoid unintended disruptions as Kubernetes APIs change across version updates. For design considerations, see Admission Webhook Good Practices."
k8s_security_docs,k8s_security_docs__docs_concepts_security__security__kubernetes_security_mechanisms__auditing__0007__chunk_0001,45,Security > Kubernetes security mechanisms > Auditing,"Title: Security
Section: Security > Kubernetes security mechanisms > Auditing
Content: Section: Kubernetes security mechanisms > Auditing. Kubernetes audit logging provides a security-relevant, chronological set of records documenting the sequence of actions in a cluster. The cluster audits the activities generated by users, by applications that use the Kubernetes API, and by the control plane itself."
k8s_security_docs,k8s_security_docs__docs_concepts_security__security__cloud_provider_security__0008__chunk_0001,41,Security > Cloud provider security,"Title: Security
Section: Security > Cloud provider security
Content: Section: Security > Cloud provider security. If you are running a Kubernetes cluster on your own hardware or a different cloud provider, consult your documentation for security best practices. Here are links to some of the popular cloud providers' security documentation:"
k8s_security_docs,k8s_security_docs__docs_concepts_security__security__policies__0009__chunk_0001,82,Security > Policies,"Title: Security
Section: Security > Policies
Content: You can define security policies using Kubernetes-native mechanisms, such as NetworkPolicy (declarative control over network packet filtering) or ValidatingAdmissionPolicy (declarative restrictions on what changes someone can make using the Kubernetes API). However, you can also rely on policy implementations from the wider ecosystem around Kubernetes. Kubernetes provides extension mechanisms to let those ecosystem projects implement their own policy controls on source code review, container image approval, API access controls, networking, and more. For more information about policy mechanisms and Kubernetes, read Policies."
k8s_security_docs,k8s_security_docs__docs_tasks_administer_cluster_securing_a_cluster__securing_a_cluster__0001__chunk_0001,24,Securing a Cluster,"Title: Securing a Cluster
Section: Securing a Cluster
Content: Section: Securing a Cluster. This document covers topics related to protecting a cluster from accidental or malicious access and provides recommendations on overall security."
