source_id,type,trust_level,num_seed_urls,allowed_domains,topic_tags
k8s_security_docs,html,official,15,kubernetes.io,"kubernetes, hardening, cluster-security, workload-security"
k8s_access_control_docs,html,official,8,kubernetes.io,"kubernetes, authentication, authorization, admission-control, rbac"
k8s_operational_security_docs,html,official,4,kubernetes.io,"kubernetes, network-policy, encryption, auditing, admission-webhooks"
k8s_cve_feed,json_feed,official,1,kubernetes.io,"kubernetes, cve, vulnerabilities"
nsa_cisa_k8s_hardening,pdf,official,1,media.defense.gov,"kubernetes, hardening, guidance"
nist_sp_800_190,pdf,official,1,nvlpubs.nist.gov,"kubernetes, containers, nist, container-security"
owasp_k8s_cheatsheet,html,trusted,1,cheatsheetseries.owasp.org,"kubernetes, owasp, checklist"
cncf_cloud_native_security_whitepaper,pdf,trusted,1,tag-security.cncf.io,"kubernetes, cncf, cloud-native, whitepaper"
aalto_k8s_security_thesis,pdf,trusted,1,aaltodoc.aalto.fi,"kubernetes, academic, security, thesis, hardening"
k8s_security_observability_book,pdf,trusted,1,ioannisgk.com,"kubernetes, practitioner, observability, workload-security, network-policy"
learn_kubernetes_security_book,pdf,trusted,1,edu.anarcho-copy.org,"kubernetes, hardening, security, book"
wallarm_kubernetes_security_whitepaper,pdf,trusted,1,website-files.com,"kubernetes, whitepaper, hardening, vendor"
practical_devsecops_kubernetes_security_101,pdf,trusted,1,practical-devsecops.com,"kubernetes, devsecops, training, hardening"
redhat_kubernetes_security_pdf,pdf,trusted,1,redhat.com,"kubernetes, redhat, security, hardening"
